id,user_id,order_date,status
100001,7249,2024-06-21,return_pending
100002,42521,2024-06-20,returned
100003,83951,2024-09-22,placed
100004,83384,2024-07-29,shipped
100005,76663,2024-10-15,completed
100006,6049,2024-10-15,return_pending
100007,48799,2024-07-28,return_pending
100008,80039,2024-09-05,completed
100009,98560,2024-05-28,return_pending
100010,16595,2024-08-17,completed
100011,67638,2024-08-23,returned
100012,89869,2024-03-30,completed
100013,70803,2024-05-19,placed
100014,73688,2024-09-07,completed
100015,33695,2024-07-08,completed
100016,50361,2024-09-13,placed
100017,38350,2024-11-10,shipped
100018,76660,2024-12-16,shipped
100019,58289,2024-09-07,completed
100020,24204,2024-09-10,placed
100021,79496,2024-12-20,shipped
100022,61114,2024-05-08,returned
100023,40942,2024-10-23,placed
100024,54774,2024-12-26,returned
100025,8745,2024-06-26,returned
100026,70072,2024-11-12,completed
100027,19189,2024-09-25,placed
100028,46218,2024-07-28,completed
100029,38204,2024-11-15,completed
100030,26501,2024-12-26,shipped
100031,59121,2024-01-22,returned
100032,68318,2024-07-15,shipped
100033,43765,2024-05-22,placed
100034,59224,2024-08-25,return_pending
100035,93620,2024-01-01,returned
100036,52615,2024-07-02,placed
100037,19253,2024-02-02,returned
100038,27962,2024-03-01,placed
100039,35207,2024-11-29,returned
100040,77318,2024-01-28,returned
100041,84538,2024-04-05,returned
100042,48496,2024-09-22,placed
100043,73358,2024-01-08,shipped
100044,28550,2024-09-26,returned
100045,80115,2024-06-25,shipped
100046,55896,2024-05-14,shipped
100047,56504,2024-07-24,returned
100048,31371,2024-02-18,completed
100049,8402,2024-06-30,shipped
100050,71653,2024-08-02,return_pending
100051,52485,2024-06-18,shipped
100052,84253,2024-07-04,return_pending
100053,71704,2024-12-11,completed
100054,94687,2024-03-18,shipped
100055,15005,2024-07-19,returned
100056,84778,2024-10-03,placed
100057,38980,2024-05-05,shipped
100058,34751,2024-12-08,return_pending
100059,94715,2024-09-18,completed
100060,61973,2024-02-02,placed
100061,51438,2024-09-04,placed
100062,71735,2024-10-24,placed
100063,26525,2024-11-10,placed
100064,24515,2024-02-29,shipped
100065,69744,2024-06-11,shipped
100066,37739,2024-04-22,completed
100067,14731,2024-11-16,completed
100068,93979,2024-10-08,placed
100069,78650,2024-03-24,placed
100070,72947,2024-12-14,shipped
100071,28944,2024-01-31,return_pending
100072,39119,2024-07-29,shipped
100073,30981,2024-09-04,shipped
100074,33049,2024-11-23,placed
100075,73994,2024-09-27,placed
100076,94027,2024-08-19,return_pending
100077,74430,2024-11-27,completed
100078,55254,2024-10-27,completed
100079,91543,2024-10-26,placed
100080,53769,2024-09-24,completed
100081,46072,2024-09-11,placed
100082,20840,2024-02-22,completed
100083,87795,2024-06-15,completed
100084,46354,2024-03-04,return_pending
100085,98521,2024-09-12,placed
100086,77960,2024-05-28,return_pending
100087,36221,2024-04-19,return_pending
100088,72997,2024-12-15,placed
100089,90843,2024-09-29,shipped
100090,6201,2024-11-03,return_pending
100091,54809,2024-05-28,shipped
100092,12327,2024-01-19,completed
100093,85445,2024-11-05,returned
100094,61332,2024-04-04,completed
100095,42687,2024-07-07,returned
100096,93866,2024-01-29,completed
100097,57176,2024-12-10,return_pending
100098,2150,2024-10-05,returned
100099,87699,2024-05-23,placed
100100,52086,2024-11-25,return_pending
100101,50962,2024-04-24,completed
100102,59841,2024-08-30,completed
100103,26452,2024-04-30,placed
100104,36294,2024-03-12,placed
100105,88945,2024-06-04,placed
100106,63803,2024-12-10,shipped
100107,59047,2024-01-11,shipped
100108,40267,2024-11-18,completed
100109,7357,2024-05-01,return_pending
100110,3051,2024-07-03,completed
100111,87272,2024-09-23,completed
100112,78871,2024-11-29,returned
100113,97275,2024-06-05,shipped
100114,40314,2024-05-02,placed
100115,51027,2024-06-10,returned
100116,5163,2024-12-09,placed
100117,92984,2024-10-21,completed
100118,82408,2024-04-09,shipped
100119,11025,2024-03-01,shipped
100120,10076,2024-09-20,completed
100121,5437,2024-08-11,placed
100122,97364,2024-04-09,return_pending
100123,57234,2024-12-27,completed
100124,24247,2024-12-02,shipped
100125,1610,2024-12-28,return_pending
100126,86702,2024-04-04,placed
100127,70668,2024-03-10,completed
100128,68845,2024-12-20,return_pending
100129,83065,2024-05-05,returned
100130,93448,2024-09-22,returned
100131,89250,2024-05-27,shipped
100132,26751,2024-10-05,placed
100133,88646,2024-02-01,completed
100134,80170,2024-01-01,shipped
100135,60294,2024-02-21,completed
100136,4453,2024-03-06,returned
100137,53407,2024-02-05,shipped
100138,32055,2024-05-22,returned
100139,18045,2024-09-25,shipped
100140,32457,2024-02-16,shipped
100141,66515,2024-12-24,returned
100142,88752,2024-08-24,placed
100143,18199,2024-11-07,return_pending
100144,1498,2024-12-21,return_pending
100145,29223,2024-05-22,completed
100146,33813,2024-05-27,returned
100147,66649,2024-08-22,returned
100148,92759,2024-03-25,shipped
100149,91005,2024-11-30,returned
100150,95659,2024-04-13,completed
100151,68402,2024-09-28,returned
100152,78503,2024-12-03,shipped
100153,19147,2024-11-14,shipped
100154,44982,2024-01-12,shipped
100155,15844,2024-06-06,return_pending
100156,38895,2024-06-06,completed
100157,54210,2024-08-05,returned
100158,55025,2024-12-17,completed
100159,55567,2024-12-31,return_pending
100160,96740,2024-05-05,returned
100161,1632,2024-04-01,completed
100162,8211,2024-04-27,shipped
100163,71129,2024-09-07,placed
100164,93261,2024-02-13,completed
100165,79460,2024-02-15,return_pending
100166,90174,2024-05-19,completed
100167,11103,2024-05-21,return_pending
100168,41585,2024-03-24,returned
100169,22859,2024-09-12,shipped
100170,60745,2024-11-27,placed
100171,4871,2024-01-22,returned
100172,97732,2024-03-01,return_pending
100173,22825,2024-08-30,placed
100174,45148,2024-06-23,placed
100175,71307,2024-06-30,placed
100176,25200,2024-10-27,return_pending
100177,49947,2024-03-05,completed
100178,15561,2024-02-21,return_pending
100179,79984,2024-11-14,placed
100180,17071,2024-01-05,placed
100181,97320,2024-03-03,completed
100182,44013,2024-12-24,shipped
